Chain Name,Chain ID,Main RPC Option
Ethereum Mainnet,1,https://api.mycryptoapi.com/eth
Expanse Network,2,https://node.expanse.tech
Ropsten,3,https://ropsten.infura.io/v3/${INFURA_API_KEY}
Rinkeby,4,https://rinkeby.infura.io/v3/${INFURA_API_KEY}
Goerli,5,https://rpc.goerli.mudit.blog/
Kotti Testnet,6,N/A
ThaiChain,7,https://rpc.dome.cloud
Ubiq,8,https://rpc.octano.dev
Quai Network Mainnet,9,https://rpc.quai.network/cyprus1
OP Mainnet,10,https://mainnet.optimism.io
Metadium Mainnet,11,https://api.metadium.com/prod
Metadium Testnet,12,https://api.metadium.com/dev
Diode Testnet Staging,13,https://staging.diode.io:8443/
Flare Mainnet,14,https://flare-api.flare.network/ext/C/rpc
Diode Prenet,15,https://prenet.diode.io:8443/
Songbird Testnet Coston,16,https://coston-api.flare.network/ext/C/rpc
ThaiChain 2.0 ThaiFi,17,https://rpc.thaifi.com
ThunderCore Testnet,18,https://testnet-rpc.thundercore.com
Songbird Canary-Network,19,https://songbird-api.flare.network/ext/C/rpc
Elastos Smart Chain,20,https://api.elastos.io/eth
Elastos Smart Chain Testnet,21,https://api-testnet.elastos.io/eth
ELA-DID-Sidechain Mainnet,22,N/A
ELA-DID-Sidechain Testnet,23,N/A
KardiaChain Mainnet,24,https://rpc.kardiachain.io
Cronos Mainnet,25,https://evm.cronos.org
Genesis L1 testnet,26,https://testrpc.genesisl1.org
ShibaChain,27,https://rpc.shibchain.org
Boba Network Rinkeby Testnet,28,https://rinkeby.boba.network/
Genesis L1,29,https://rpc.genesisl1.org
Rootstock Mainnet,30,https://public-node.rsk.co
Rootstock Testnet,31,https://public-node.testnet.rsk.co
GoodData Testnet,32,https://test2.goodata.io
GoodData Mainnet,33,https://rpc.goodata.io
SecureChain Mainnet,34,https://mainnet-rpc.scai.network
TBWG Chain,35,https://rpc.tbwg.io
Dxchain Mainnet,36,https://mainnet.dxchain.com
